foodcode,foodgroup
66205,fresh_fruit
71001,nut
71002,nut
71003,nut
71004,nut
71005,nut
71006,nut
71007,nut
71008,nut
71009,nut
71010,nut
71011,nut
71012,nut
71013,nut
71014,nut
71015,nut
71016,nut
71017,nut
71018,nut
71019,nut
71020,nut
71021,nut
71022,nut
71023,nut
71024,nut
71025,nut
72001,nut
72002,nut
72003,nut
72004,nut
72005,nut
72006,nut
72007,nut
72008,nut
72009,nut
72010,nut
72011,nut
72012,nut
72013,nut
72014,nut
72015,nut
72016,nut
72017,nut
72018,nut
72019,nut
81101,meat
81102,meat
81103,meat
81104,meat
81105,meat
81106,meat
81107,meat
81108,meat
81109,meat
81110,meat
81111,meat
81112,meat
81113,meat
81114,meat
81115,meat
81116,meat
81117,meat
81118,meat
81119,meat
81120,meat
81201,meat
81202,meat
81203,meat
81204,meat
81205,meat
81206,meat
81207,meat
81208,meat
81209,meat
81210,meat
81211,meat
81212,meat
81301,meat
81302,meat
81303,meat
81304,meat
81305,meat
81306,meat
81307,meat
81308,meat
81309,meat
81310,meat
81311,meat
81312,meat
81313,meat
81314,meat
81315,meat
81316,meat
81317,meat
81401,meat
81402,meat
81403,meat
81404,meat
81405,meat
81406,meat
81407,meat
81408,meat
81409,meat
81410,meat
81411,meat
81412,meat
81413,meat
81414,meat
81415,meat
81416,meat
81417,meat
81418,meat
81419,meat
81420,meat
81421,meat
81422,meat
82101,meat
82102,meat
82103,meat
82104,meat
82105,meat
82106,meat
82107,meat
82108,meat
82109,meat
82110,meat
82201,meat
82202,meat
82203,meat
82204,meat
82205,meat
82206,meat
82207,meat
82208,meat
82209,meat
82301,meat
82302,meat
82303,meat
82304,meat
82305,meat
82306,meat
83101,meat
83102,meat
83103,meat
83104,meat
83105,meat
83106,meat
83107,meat
83108,meat
83109,meat
83110,meat
83111,meat
83112,meat
83201,meat
83202,meat
83203,meat
83204,meat
83205,meat
83206,meat
83207,meat
83208,meat
83209,meat
83301,meat
83302,meat
83303,meat
83304,meat
83305,meat
83306,meat
83307,meat
83308,meat
84101,meat
84201,meat
84301,meat
84302,meat
84303,meat
85101,meat
85201,meat
85301,meat
89001,meat
89002,meat
89003,meat
89004,meat
89005,meat
91101,meat
91102,meat
91103,meat
91104,meat
91105,meat
91106,meat
91107,meat
91108,meat
91109,meat
91110,meat
91111,meat
91201,meat
91202,meat
91203,meat
91204,meat
91205,meat
91301,meat
91302,meat
91303,meat
91304,meat
91305,meat
91306,meat
91307,meat
92101,meat
92102,meat
92103,meat
92104,meat
92105,meat
92106,meat
92107,meat
92201,meat
92202,meat
92203,meat
92204,meat
92205,meat
92206,meat
92207,meat
92208,meat
92209,meat
92210,meat
92211,meat
92212,meat
92213,meat
92301,meat
92302,meat
92303,meat
92304,meat
92305,meat
92306,meat
93101,meat
93201,meat
93202,meat
93301,meat
94101,meat
94102,meat
94201,meat
94202,meat
99001,meat
99002,meat
101101,milk
101102,milk
101103,milk
101104,milk
101201,milk
101301,milk
102101,milk
102102,milk
102103,milk
102104,milk
102201,milk
103001,milk
103002,milk
103003,milk
103004,milk
103005,milk
103006,milk
104001,milk
104002,milk
104003,milk
104004,milk
104005,milk
104006,milk
104007,milk
104008,milk
104009,milk
104010,milk
104011,milk
105001,animal_fat
105002,animal_fat
105003,animal_fat
105004,animal_fat
105005,animal_fat
105006,animal_fat
105007,animal_fat
109001,milk
109002,milk
109003,milk
111101,egg
111102,egg
111103,egg
111104,egg
111105,egg
111106,egg
111107,egg
111108,egg
111201,egg
111202,egg
111203,egg
112101,egg
112102,egg
112103,egg
112201,egg
112202,egg
113101,egg
113102,egg
113103,egg
114101,egg
114201,egg
121101,fish
121102,fish
121103,fish
121104,fish
121105,fish
121106,fish
121107,fish
121108,fish
121109,fish
121110,fish
121111,fish
121112,fish
121113,fish
121114,fish
121115,fish
121116,fish
121117,fish
121118,fish
121119,fish
121120,fish
121121,fish
121122,fish
121123,fish
121124,fish
121125,fish
121126,fish
121127,fish
121128,fish
121129,fish
121130,fish
121201,fish
121202,fish
121203,fish
121204,fish
121205,fish
121206,fish
121207,fish
121208,fish
121209,fish
121210,fish
121211,fish
121212,fish
121213,fish
121214,fish
121215,fish
121216,fish
121217,fish
121218,fish
121219,fish
121220,fish
121221,fish
121222,fish
121223,fish
121224,fish
121225,fish
121226,fish
121227,fish
121228,fish
121229,fish
121230,fish
121231,fish
121232,fish
121233,fish
121234,fish
121235,fish
121236,fish
121237,fish
121238,fish
121239,fish
121240,fish
121301,fish
121302,fish
122101,
122102,
122103,
122104,
122105,
122106,
122107,
122108,
122109,
122110,
122111,
122112,
122113,
122114,
122115,
122116,
122201,
122202,
123001,
123002,
123003,
123004,
123005,
124101,
124102,
124103,
124104,
124105,
124106,
124107,
124108,
124109,
124110,
124111,
124112,
124113,
124114,
124115,
124116,
124201,
124202,
124203,
124204,
124205,
124206,
124301,
124302,
124303,
124304,
124305,
124306,
124307,
129001,
129002,
129003,
129004,
129005,
129006,
129007,
129008,
129009,
129010,
129011,
129012,
129013,
131001,milk
131002,milk
133001,
133002,
133003,
133004,
133005,
133006,
133007,
133008,
141001,
141002,
141003,
141004,
141005,
141006,
141007,
141008,
141009,
141010,
141011,
141012,
141013,
141014,
141015,
141016,
141017,
141018,
141019,
141020,
141021,
141022,
141023,
141024,
141025,
141026,
141027,
141028,
141029,
141030,
141031,
141032,
141033,
141034,
141035,
141036,
141037,
142101,
142102,
142103,
142104,
142105,
142106,
142107,
142201,
142202,
142203,
142204,
142205,
142206,
142207,
142208,
142301,
142302,
142303,
142304,
142305,
142306,
142307,
142308,
142309,
142310,
142311,
142312,
142313,
142314,
142315,
142316,
142317,
142318,
142319,
142320,
142321,
142322,
142323,
142324,
142325,
142326,
142327,
142328,
142329,
142330,
142331,
152101,
152102,
152103,
152104,
152201,
152301,
152302,
152303,
152304,
152305,
152306,
152307,
152308,
152309,
152310,
152311,
152312,
152313,
152401,
152402,
152403,
152404,
152405,
152406,
152407,
152408,
152409,
152410,
152411,
152412,
152413,
152414,
153001,
153002,
153003,
153004,
161001,
161002,
161003,
161004,
161005,
161006,
161007,
161008,
162001,
162002,
162003,
162004,
162005,
162006,
162007,
162008,
162009,
162010,
162011,
163001,
164001,
164002,
165001,
165002,
166101,tea
166102,tea
166103,tea
166104,tea
166105,tea
166106,tea
166107,tea
166108,tea
166109,tea
166110,tea
166201,tea
167001,
167002,
167003,
167004,
167005,
167006,
167007,
167008,
167009,
167010,
168001,
168002,
168003,
168004,
168005,
168006,
168007,
168008,
169001,
171101,
171102,
171103,
171104,
171105,
171106,
171107,
171108,
171109,
171110,
171111,
171112,
171113,
171114,
171201,
171202,
171203,
171204,
171301,
171302,
171303,
171304,
171305,
171306,
171307,
171308,
172101,
172102,
172103,
172104,
172105,
172106,
172107,
172108,
172109,
172110,
172111,
172112,
172113,
172114,
172115,
172116,
172117,
172118,
172119,
172120,
172121,
172122,
172123,
172124,
172125,
172126,
173101,
173102,
173103,
173104,
181001,sugar
181002,sugar
181003,sugar
181004,sugar
181005,sugar
181006,sugar
182001,sugar
182002,sugar
182003,sugar
182004,sugar
182005,sugar
182006,sugar
182007,
182008,
182009,
182010,
182011,sugar
182012,sugar
182013,sugar
182014,sugar
182015,sugar
182016,sugar
183001,
183002,
183003,
183004,
183005,
183006,
183007,
183008,
183009,
183010,
183011,
191001,animal_fat
191002,animal_fat
191003,animal_fat
191004,animal_fat
191005,animal_fat
191006,animal_fat
191007,animal_fat
192001,vegetable_oil
192002,vegetable_oil
192003,vegetable_oil
192004,vegetable_oil
192005,vegetable_oil
192006,vegetable_oil
192007,vegetable_oil
192008,vegetable_oil
192009,vegetable_oil
192010,vegetable_oil
192011,vegetable_oil
192012,vegetable_oil
192013,vegetable_oil
192014,vegetable_oil
192015,vegetable_oil
192016,vegetable_oil
192017,vegetable_oil
192018,vegetable_oil
192019,vegetable_oil
201001,
201002,
201003,
201004,
201005,
201006,
201007,
201008,
201009,
201010,
202001,
202002,
202003,
202004,
202005,
202006,
202007,
202008,
203101,
203102,
203103,
203104,
203105,
203106,
203107,
203108,
203109,
203110,
203111,
203112,
203113,
203114,
203115,
203201,
203202,
203203,
203204,
203205,
203206,
204001,bean
204002,bean
204003,bean
204004,bean
204005,bean
205001,salt_pre
205002,salt_pre
205003,salt_pre
205004,salt_pre
205005,salt_pre
205006,salt_pre
205007,salt_pre
205008,salt_pre
205009,salt_pre
205010,salt_pre
205011,salt_pre
205012,salt_pre
205013,salt_pre
205014,salt_pre
205015,salt_pre
205016,salt_pre
205017,salt_pre
